s,kW/m2,kg/m2/s,kW/m2,C,kW/m2,kW/m3,kW/m3,kW/m2,C
Time,"U","burn","con","gas","gauge","hrrpuv","qr","rad","temp"
 0.0000000E+000, 1.6750492E+000, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001,-1.6805134E-006, 0.0000000E+000,-1.3940661E-006,-1.5124202E-006, 2.0000000E+001
 2.0412415E-001, 1.8077296E+000, 1.4466384E-020,-1.2429828E-005, 2.0001868E+001, 2.5848680E-002, 0.0000000E+000, 1.3110308E-002, 2.3250897E-002, 2.0052375E+001
 4.0824829E-001, 1.9392764E+000, 2.8934994E-020,-3.0756990E-005, 2.0037398E+001, 5.2226967E-002, 0.0000000E+000, 2.6033866E-002, 4.6576968E-002, 2.0129225E+001
 6.1237244E-001, 2.0708232E+000, 2.8941683E-020, 1.2044608E-005, 2.0256379E+001, 7.8756494E-002, 0.0000000E+000, 3.8542096E-002, 6.9903038E-002, 2.0279279E+001
 8.1649658E-001, 2.9796633E+000, 2.8955293E-020, 4.4318309E-004, 2.1118540E+001, 2.7592066E-001, 0.0000000E+000, 1.2642093E-001, 2.4489618E-001, 2.0869466E+001
 1.0206207E+000, 4.0243634E+000, 2.8997171E-020, 3.5575166E-003, 2.3751019E+001, 4.8960881E-001, 0.0000000E+000, 2.2358509E-001, 4.2920553E-001, 2.1583997E+001
 1.2247449E+000, 5.0690636E+000, 2.9085467E-020, 1.6903646E-002, 3.0185536E+001, 7.1674289E-001, 0.0000000E+000, 3.1120342E-001, 6.1351488E-001, 2.2918471E+001
 1.4288690E+000, 8.0687226E+000, 2.9257040E-020, 4.9486069E-002, 4.1951996E+001, 1.3096242E+000, 0.0000000E+000, 5.7642099E-001, 1.0955147E+000, 2.5790805E+001
 1.6329932E+000, 9.6164500E+000, 2.9696200E-020, 9.9718918E-002, 5.6243604E+001, 1.6558313E+000, 0.0000000E+000, 6.1426928E-001, 1.3324404E+000, 2.8723940E+001
 1.8371173E+000, 1.1164177E+001, 3.0654984E-020, 1.4004173E-001, 6.5424390E+001, 1.9941205E+000, 0.0000000E+000, 7.2382928E-001, 1.5693662E+000, 3.1931524E+001
 2.0412415E+000, 1.4422709E+001, 3.2561299E-020, 1.3965126E-001, 6.7349711E+001, 2.6489172E+000, 0.0000000E+000, 1.0060242E+000, 2.1176368E+000, 3.6517767E+001
 2.2453656E+000, 1.5906156E+001, 3.7259049E-020, 9.4971242E-002, 5.9798511E+001, 2.9221576E+000, 0.0000000E+000, 1.1602694E+000, 2.3685489E+000, 4.0540485E+001
 2.4308288E+000, 1.7389603E+001, 4.7477513E-020, 5.1093311E-002, 5.4821674E+001, 3.1897116E+000, 0.0000000E+000, 1.3060026E+000, 2.6194611E+000, 4.4146455E+001
 2.6810321E+000, 2.0100470E+001, 7.5526953E-020, 3.9821668E-002, 6.1923699E+001, 3.7094350E+000, 0.0000000E+000, 1.5247629E+000, 3.0562053E+000, 4.9975691E+001
 2.8224256E+000, 2.2093426E+001, 1.5589679E-019, 6.3874021E-002, 7.2787596E+001, 4.0899701E+000, 0.0000000E+000, 1.6668330E+000, 3.2993490E+000, 5.4797036E+001
 3.0345159E+000, 2.2864441E+001, 3.8290515E-019, 7.5378061E-002, 7.8976710E+001, 4.2445252E+000, 0.0000000E+000, 1.7139059E+000, 3.3880268E+000, 5.9794142E+001
 3.2466063E+000, 2.3838707E+001, 9.0111847E-019, 7.5977382E-002, 8.4147413E+001, 4.4083876E+000, 0.0000000E+000, 1.7815713E+000, 3.4798341E+000, 6.3986976E+001
 3.4586966E+000, 2.4554544E+001, 2.5786840E-018, 7.2457424E-002, 8.7324887E+001, 4.5338424E+000, 0.0000000E+000, 1.8331429E+000, 3.5470383E+000, 6.8948806E+001
 3.6000901E+000, 2.5050003E+001, 5.1661738E-018, 5.7682291E-002, 8.5995381E+001, 4.6097606E+000, 3.8345413E-005, 1.8819447E+000, 3.5873411E+000, 7.2117307E+001
 3.8121804E+000, 2.5487308E+001, 9.9164141E-018, 3.8447400E-002, 8.3942096E+001, 4.6637167E+000, 1.6718780E-004, 1.9282125E+000, 3.6167346E+000, 7.5091564E+001
 4.0242707E+000, 2.5910081E+001, 2.3782631E-017, 1.2689111E-002, 8.1104803E+001, 4.7085784E+000, 8.7804453E-004, 1.9758640E+000, 3.6370649E+000, 7.9200331E+001
