Time,CPU Usage,Memory Usage,OS
2023-05-15 12:27:40,0.0,48.6,Windows
2023-05-15 12:27:41,1.6,48.7,Windows
2023-05-15 12:27:42,0.9,48.7,Windows
2023-05-15 12:27:43,0.8,48.7,Windows
2023-05-15 12:27:44,0.8,48.7,Windows
2023-05-15 12:27:45,0.8,48.7,Windows
2023-05-15 12:27:46,0.0,48.7,Windows
2023-05-15 12:27:47,1.3,48.7,Windows
2023-05-15 12:27:48,0.4,48.7,Windows
2023-05-15 12:27:49,1.4,48.7,Windows
2023-05-15 12:27:50,5.8,48.6,Windows
2023-05-15 12:27:51,3.0,46.6,Windows
2023-05-15 12:27:52,0.3,46.6,Windows
2023-05-15 12:27:53,0.8,46.5,Windows
2023-05-15 12:27:54,3.6,46.6,Windows
2023-05-15 12:27:55,2.3,46.5,Windows
2023-05-15 12:27:56,0.9,46.5,Windows
2023-05-15 12:27:57,1.2,46.5,Windows
2023-05-15 12:27:58,1.3,46.8,Windows
2023-05-15 12:27:59,2.5,46.7,Windows
2023-05-15 12:28:00,0.5,46.7,Windows
2023-05-15 12:28:01,0.8,46.7,Windows
2023-05-15 12:28:02,1.0,46.7,Windows
2023-05-15 12:28:03,2.7,46.7,Windows
2023-05-15 12:28:04,0.9,46.7,Windows
2023-05-15 12:28:05,0.8,46.7,Windows
2023-05-15 12:28:06,3.6,46.7,Windows
2023-05-15 12:28:07,3.9,46.9,Windows
2023-05-15 12:28:08,2.7,46.8,Windows
2023-05-15 12:28:09,1.0,46.8,Windows
2023-05-15 12:28:10,0.9,46.8,Windows
2023-05-15 12:28:11,1.7,46.8,Windows
2023-05-15 12:28:12,0.5,46.8,Windows
2023-05-15 12:28:13,1.3,46.8,Windows
2023-05-15 12:28:14,0.4,46.8,Windows
2023-05-15 12:28:15,0.8,46.8,Windows
2023-05-15 12:28:16,1.3,46.8,Windows
2023-05-15 12:28:17,0.5,46.8,Windows
2023-05-15 12:28:18,0.4,46.8,Windows
2023-05-15 12:28:19,1.4,46.8,Windows
2023-05-15 12:28:20,0.5,46.7,Windows
2023-05-15 12:28:21,1.9,46.7,Windows
2023-05-15 12:28:22,2.6,46.7,Windows
2023-05-15 12:28:23,1.6,46.8,Windows
2023-05-15 12:28:24,2.0,46.8,Windows
2023-05-15 12:28:25,0.9,46.8,Windows
2023-05-15 12:28:26,1.6,46.8,Windows
2023-05-15 12:28:27,1.8,46.8,Windows
2023-05-15 12:28:28,1.3,46.7,Windows
2023-05-15 12:28:29,1.8,46.7,Windows
2023-05-15 12:28:30,1.8,46.7,Windows
2023-05-15 12:28:31,0.9,46.7,Windows
2023-05-15 12:28:32,0.4,46.6,Windows
2023-05-15 12:28:33,2.3,46.6,Windows
2023-05-15 12:28:34,1.2,46.6,Windows
2023-05-15 12:28:35,1.3,46.5,Windows
2023-05-15 12:28:36,1.3,46.6,Windows
2023-05-15 12:28:37,6.2,46.5,Windows
2023-05-15 12:28:38,7.5,46.9,Windows
2023-05-15 12:28:39,2.9,47.0,Windows
2023-05-15 12:28:40,0.4,47.0,Windows
2023-05-15 12:28:41,0.4,47.0,Windows
2023-05-15 12:28:42,0.5,47.1,Windows
2023-05-15 12:28:43,0.9,47.0,Windows
2023-05-15 12:28:44,0.8,47.0,Windows
2023-05-15 12:28:45,0.4,47.0,Windows
2023-05-15 12:28:46,0.3,47.0,Windows
2023-05-15 12:28:47,0.4,47.0,Windows
2023-05-15 12:28:48,0.4,47.0,Windows
2023-05-15 12:28:49,0.5,46.9,Windows
2023-05-15 12:28:50,0.5,47.0,Windows
2023-05-15 12:28:51,0.1,47.0,Windows
2023-05-15 12:28:52,0.9,47.0,Windows
2023-05-15 12:28:53,0.9,47.0,Windows
2023-05-15 12:28:54,0.4,47.0,Windows
2023-05-15 12:28:56,0.5,47.0,Windows
2023-05-15 12:28:57,0.4,47.0,Windows
2023-05-15 12:28:58,1.0,47.2,Windows
2023-05-15 12:28:59,0.5,47.2,Windows
2023-05-15 12:29:00,0.4,47.2,Windows
2023-05-15 12:29:01,1.2,47.2,Windows
2023-05-15 12:29:02,1.3,47.2,Windows
2023-05-15 12:29:03,3.8,47.3,Windows
2023-05-15 12:29:04,1.7,47.3,Windows
2023-05-15 12:29:05,5.6,47.7,Windows
2023-05-15 12:29:06,1.3,47.7,Windows
2023-05-15 12:29:07,1.2,47.7,Windows
2023-05-15 12:29:08,0.9,47.7,Windows
2023-05-15 12:29:09,0.7,47.5,Windows
2023-05-15 12:29:10,1.9,47.6,Windows
