name;source;target;adjacency
eefde0;Hefdeuren;Bewegingswerken Deuren;4
eefde1;Hefdeuren;Nivelleerschuiven;1
eefde2;Hefdeuren;Bewegingswerken nivelleerschuiven;1
eefde3;Hefdeuren;Sluishoofd constructie;2
eefde4;Hefdeuren;Scheepsvaartvoorzieningen;2
eefde5;Hefdeuren;Objectverlichting;2
eefde6;Hefdeuren;Veiligheidsmiddelen (Incl. detectie);2
eefde7;Hefdeuren;Schip;2
eefde8;Bewegingswerken Deuren;Hefdeuren;4
eefde9;Bewegingswerken Deuren;Sluishoofd constructie;2
eefde10;Bewegingswerken Deuren;Hoogspanningsinstallatie;1
eefde11;Bewegingswerken Deuren;Noodstroomvoorziening;2
eefde12;Bewegingswerken Deuren;Bediensysteem regulier proces;1
eefde13;Bewegingswerken Deuren;Bediensysteem onderhoud;2
eefde14;Bewegingswerken Deuren;Bediensysteem noodbediening;1
eefde15;Bewegingswerken Deuren;Besturingssystemen;2
eefde16;Bewegingswerken Deuren;Bliksem en overspanningsbeveiliging;2
eefde17;Nivelleerschuiven;Hefdeuren;1
eefde18;Nivelleerschuiven;Bewegingswerken nivelleerschuiven;4
eefde19;Bewegingswerken nivelleerschuiven;Hefdeuren;1
eefde20;Bewegingswerken nivelleerschuiven;Nivelleerschuiven;4
eefde21;Bewegingswerken nivelleerschuiven;Hoogspanningsinstallatie;1
eefde22;Bewegingswerken nivelleerschuiven;Noodstroomvoorziening;2
eefde23;Bewegingswerken nivelleerschuiven;Bediensysteem regulier proces;1
eefde24;Bewegingswerken nivelleerschuiven;Bediensysteem onderhoud;2
eefde25;Bewegingswerken nivelleerschuiven;Bediensysteem noodbediening;1
eefde26;Bewegingswerken nivelleerschuiven;Besturingssystemen;2
eefde27;Bewegingswerken nivelleerschuiven;Bliksem en overspanningsbeveiliging;2
eefde28;Sluishoofd constructie;Hefdeuren;2
eefde29;Sluishoofd constructie;Bewegingswerken Deuren;2
eefde30;Sluishoofd constructie;Onder- /achterloopheidsschermen;1
eefde31;Sluishoofd constructie;Bubbelscherm;2
eefde32;Sluishoofd constructie;Kolkwand;1
eefde33;Sluishoofd constructie;Fuik;1
eefde34;Sluishoofd constructie;Laagspanningsinstallatie;2
eefde35;Sluishoofd constructie;Noodstop;1
eefde36;Sluishoofd constructie;Objectverlichting;1
eefde37;Sluishoofd constructie;Bliksem en overspanningsbeveiliging;2
eefde38;Sluishoofd constructie;Veiligheidsmiddelen (Incl. detectie);2
eefde39;Sluishoofd constructie;Brandmeld installatie;1
eefde40;Sluishoofd constructie;Scheepsvaart tekens;2
eefde41;Sluishoofd constructie;Schip;2
eefde42;Onder- /achterloopheidsschermen;Sluishoofd constructie;1
eefde43;Onder- /achterloopheidsschermen;Bodembescherming;1
eefde44;Onder- /achterloopheidsschermen;Fuik;1
eefde45;Onder- /achterloopheidsschermen;Bodembescherming voorhaven;1
eefde46;Bubbelscherm;Sluishoofd constructie;2
eefde47;Bubbelscherm;Hoogspanningsinstallatie;2
eefde48;Bubbelscherm;Bediensysteem regulier proces;1
eefde49;Bubbelscherm;Bediensysteem onderhoud;2
eefde50;Bubbelscherm;Besturingssystemen;2
eefde51;Bubbelscherm;Bliksem en overspanningsbeveiliging;2
eefde52;Kolkwand;Sluishoofd constructie;1
eefde53;Kolkwand;Bodembescherming;1
eefde54;Kolkwand;Scheepsvaartvoorzieningen;2
eefde55;Kolkwand;Noodstop;1
eefde56;Kolkwand;Objectverlichting;2
eefde57;Kolkwand;Scheepsvaart tekens;2
eefde58;Kolkwand;Niveau meetsysteem;2
eefde59;Kolkwand;Schip;2
eefde60;Bodembescherming;Onder- /achterloopheidsschermen;1
eefde61;Bodembescherming;Kolkwand;1
eefde62;Bodembescherming;Fuik;1
eefde63;Scheepsvaartvoorzieningen;Hefdeuren;2
eefde64;Scheepsvaartvoorzieningen;Kolkwand;2
eefde65;Scheepsvaartvoorzieningen;Fuik;2
eefde66;Scheepsvaartvoorzieningen;Opstelruimte;1
eefde67;Scheepsvaartvoorzieningen;Wachtruimte;1
eefde68;Scheepsvaartvoorzieningen;Oeverbescherming;1
eefde69;Scheepsvaartvoorzieningen;Objectverlichting;2
eefde70;Scheepsvaartvoorzieningen;Puntdeuren V;2
eefde71;Scheepsvaartvoorzieningen;Schip;2
eefde72;Fuik;Sluishoofd constructie;1
eefde73;Fuik;Onder- /achterloopheidsschermen;1
eefde74;Fuik;Bodembescherming;1
eefde75;Fuik;Scheepsvaartvoorzieningen;2
eefde76;Fuik;Wachtruimte;1
eefde77;Fuik;Bodembescherming voorhaven;1
eefde78;Fuik;Objectverlichting;1
eefde79;Fuik;Veiligheidsmiddelen (Incl. detectie);1
eefde80;Fuik;Scheepsvaart tekens;2
eefde81;Fuik;Niveau meetsysteem;2
eefde82;Fuik;Schip;1
eefde83;Opstelruimte;Scheepsvaartvoorzieningen;1
eefde84;Opstelruimte;Wachtruimte;1
eefde85;Opstelruimte;Bodembescherming voorhaven;1
eefde86;Opstelruimte;Objectverlichting;2
eefde87;Opstelruimte;Scheepsvaart tekens;2
eefde88;Opstelruimte;Schip;2
eefde89;Wachtruimte;Scheepsvaartvoorzieningen;1
eefde90;Wachtruimte;Fuik;1
eefde91;Wachtruimte;Opstelruimte;1
eefde92;Wachtruimte;Uitlooplengte;1
eefde93;Wachtruimte;Bodembescherming voorhaven;1
eefde94;Wachtruimte;Schip;1
eefde95;Uitlooplengte;Wachtruimte;1
eefde96;Uitlooplengte;Schip;1
eefde97;Bodembescherming voorhaven;Onder- /achterloopheidsschermen;1
eefde98;Bodembescherming voorhaven;Fuik;1
eefde99;Bodembescherming voorhaven;Opstelruimte;1
eefde100;Bodembescherming voorhaven;Wachtruimte;1
eefde101;Oeverbescherming;Scheepsvaartvoorzieningen;1
eefde102;Energie aansluiting;Laagspanningsinstallatie;2
eefde103;Energie aansluiting;Hoogspanningsinstallatie;1
eefde104;Energie aansluiting;Bediengebouw apparatenruimte;1
eefde105;Laagspanningsinstallatie;Sluishoofd constructie;2
eefde106;Laagspanningsinstallatie;Energie aansluiting;2
eefde107;Laagspanningsinstallatie;Bediensysteem regulier proces;1
eefde108;Laagspanningsinstallatie;Bediensysteem onderhoud;2
eefde109;Laagspanningsinstallatie;Noodstop;1
eefde110;Laagspanningsinstallatie;Bediensysteem noodbediening;1
eefde111;Laagspanningsinstallatie;Besturingssystemen;1
eefde112;Laagspanningsinstallatie;Telefoon;1
eefde113;Laagspanningsinstallatie;Bediengebouw apparatenruimte;2
eefde114;Laagspanningsinstallatie;Objectverlichting;1
eefde115;Laagspanningsinstallatie;Veiligheidsmiddelen (Incl. detectie);1
eefde116;Laagspanningsinstallatie;Brandmeld installatie;1
eefde117;Laagspanningsinstallatie;Akoustische en visuele signalering;1
eefde118;Laagspanningsinstallatie;Omroepinstallatie;1
eefde119;Laagspanningsinstallatie;Praatpaalinstallatie;1
eefde120;Laagspanningsinstallatie;Intercominstallatie;1
eefde121;Laagspanningsinstallatie;Marifooninstallatie;1
eefde122;Laagspanningsinstallatie;CCTV installatie;1
eefde123;Laagspanningsinstallatie;Radarinstallatie;1
eefde124;Laagspanningsinstallatie;Meteo installatie;1
eefde125;Laagspanningsinstallatie;Scheepsvaart tekens;1
eefde126;Laagspanningsinstallatie;Niveau meetsysteem;1
eefde127;Laagspanningsinstallatie;Logging;1
eefde128;Laagspanningsinstallatie;Sluishoofd constructie V;2
eefde129;Hoogspanningsinstallatie;Bewegingswerken Deuren;1
eefde130;Hoogspanningsinstallatie;Bewegingswerken nivelleerschuiven;1
