,Source,Departure Time,Destination,Arrival Time,Date,Price,Airline,Timestamp
0,EWR,4:02 PM,BOS,5:24 PM,05-12,$209,United,2023-05-12 15:52:07.191256
1,LGA,6:59 PM,BOS,8:29 PM,05-12,$209,Delta,2023-05-12 15:52:07.193337
2,LGA,5:15 PM,BOS,6:42 PM,05-12,$209,JetBlue,2023-05-12 15:52:07.195653
3,EWR,5:00 PM,BOS,6:32 PM,05-12,$209,Delta,2023-05-12 15:52:07.197680
4,EWR,6:57 PM,BOS,8:19 PM,05-12,$209,United,2023-05-12 15:52:07.199657
5,EWR,8:07 PM,BOS,9:29 PM,05-12,$209,United,2023-05-12 15:52:07.201674
6,LGA,8:59 PM,BOS,10:22 PM,05-12,$209,Delta,2023-05-12 15:52:07.203633
7,LGA,9:59 PM,BOS,11:10 PM,05-12,$209,Delta,2023-05-12 15:52:07.205649
8,EWR,9:59 PM,BOS,11:21 PM,05-12,$209,United,2023-05-12 15:52:07.207590
9,JFK,10:00 PM,BOS,11:27 PM,05-12,$209,Delta,2023-05-12 15:52:07.209535
10,JFK,5:25 PM,BOS,6:56 PM,05-12,$209,JetBlue,2023-05-12 15:52:07.211778
11,LGA,6:15 PM,BOS,7:37 PM,05-12,$209,JetBlue,2023-05-12 15:52:07.214032
12,LGA,7:15 PM,BOS,8:36 PM,05-12,$209,JetBlue,2023-05-12 15:52:07.216435
13,LGA,8:15 PM,BOS,9:34 PM,05-12,$209,JetBlue,2023-05-12 15:52:07.218683
14,JFK,9:59 PM,BOS,11:30 PM,05-12,$209,American,2023-05-12 15:52:07.220681
15,LGA,5:00 PM,BOS,6:30 PM,05-12,$289,Delta,2023-05-12 15:52:07.222661
16,EWR,4:59 PM,BOS,6:21 PM,05-12,$329,United,2023-05-12 15:52:07.224599
17,LGA,5:59 PM,BOS,7:32 PM,05-12,$364,Delta,2023-05-12 15:52:07.226605
18,JFK,10:29 PM,BOS,11:50 PM,05-12,$419,JetBlue,2023-05-12 15:52:07.228841
19,JFK,4:29 PM,BOS,6:10 PM,05-12,$548,Delta,2023-05-12 15:52:07.230831
20,LGA,8:00 PM,BOS,9:14 PM,05-12,$591,Delta,2023-05-12 15:52:07.232762
