,Source,Departure Time,Destination,Arrival Time,Date,Price,Airline,Timestamp
0,EWR,4:02 PM,BOS,5:24 PM,12th May,$209,United,2023-05-12 15:51:33.660535
1,LGA,6:59 PM,BOS,8:29 PM,12th May,$209,Delta,2023-05-12 15:51:33.662559
2,LGA,5:15 PM,BOS,6:42 PM,12th May,$209,JetBlue,2023-05-12 15:51:33.664886
3,EWR,5:00 PM,BOS,6:32 PM,12th May,$209,Delta,2023-05-12 15:51:33.666883
4,EWR,6:57 PM,BOS,8:19 PM,12th May,$209,United,2023-05-12 15:51:33.668926
5,EWR,8:07 PM,BOS,9:29 PM,12th May,$209,United,2023-05-12 15:51:33.670905
6,LGA,8:59 PM,BOS,10:22 PM,12th May,$209,Delta,2023-05-12 15:51:33.672947
7,LGA,9:59 PM,BOS,11:10 PM,12th May,$209,Delta,2023-05-12 15:51:33.674948
8,EWR,9:59 PM,BOS,11:21 PM,12th May,$209,United,2023-05-12 15:51:33.676931
9,JFK,10:00 PM,BOS,11:27 PM,12th May,$209,Delta,2023-05-12 15:51:33.678911
10,JFK,5:25 PM,BOS,6:56 PM,12th May,$209,JetBlue,2023-05-12 15:51:33.681242
11,LGA,6:15 PM,BOS,7:37 PM,12th May,$209,JetBlue,2023-05-12 15:51:33.683527
12,LGA,7:15 PM,BOS,8:36 PM,12th May,$209,JetBlue,2023-05-12 15:51:33.685809
13,LGA,8:15 PM,BOS,9:34 PM,12th May,$209,JetBlue,2023-05-12 15:51:33.688086
14,JFK,9:59 PM,BOS,11:30 PM,12th May,$209,American,2023-05-12 15:51:33.690100
15,LGA,5:00 PM,BOS,6:30 PM,12th May,$289,Delta,2023-05-12 15:51:33.692111
16,EWR,4:59 PM,BOS,6:21 PM,12th May,$329,United,2023-05-12 15:51:33.694086
17,LGA,5:59 PM,BOS,7:32 PM,12th May,$364,Delta,2023-05-12 15:51:33.696095
18,JFK,10:29 PM,BOS,11:50 PM,12th May,$419,JetBlue,2023-05-12 15:51:33.698383
19,JFK,4:29 PM,BOS,6:10 PM,12th May,$548,Delta,2023-05-12 15:51:33.700385
20,LGA,8:00 PM,BOS,9:14 PM,12th May,$591,Delta,2023-05-12 15:51:33.702345
