,Source,Departure Time,Destination,Arrival Time,Date,Price,Airline,Timestamp
0,EWR,4:02 PM,BOS,5:24 PM,05-12-2023,$209,United,2023-05-12 15:52:58.538417
1,LGA,6:59 PM,BOS,8:29 PM,05-12-2023,$209,Delta,2023-05-12 15:52:58.540479
2,LGA,5:15 PM,BOS,6:42 PM,05-12-2023,$209,JetBlue,2023-05-12 15:52:58.542847
3,EWR,5:00 PM,BOS,6:32 PM,05-12-2023,$209,Delta,2023-05-12 15:52:58.544960
4,EWR,6:57 PM,BOS,8:19 PM,05-12-2023,$209,United,2023-05-12 15:52:58.547171
5,EWR,8:07 PM,BOS,9:29 PM,05-12-2023,$209,United,2023-05-12 15:52:58.549276
6,LGA,8:59 PM,BOS,10:22 PM,05-12-2023,$209,Delta,2023-05-12 15:52:58.551335
7,LGA,9:59 PM,BOS,11:10 PM,05-12-2023,$209,Delta,2023-05-12 15:52:58.553392
8,EWR,9:59 PM,BOS,11:21 PM,05-12-2023,$209,United,2023-05-12 15:52:58.555396
9,JFK,10:00 PM,BOS,11:27 PM,05-12-2023,$209,Delta,2023-05-12 15:52:58.557476
10,JFK,5:25 PM,BOS,6:56 PM,05-12-2023,$209,JetBlue,2023-05-12 15:52:58.559804
11,LGA,6:15 PM,BOS,7:37 PM,05-12-2023,$209,JetBlue,2023-05-12 15:52:58.562147
12,LGA,7:15 PM,BOS,8:36 PM,05-12-2023,$209,JetBlue,2023-05-12 15:52:58.564441
13,LGA,8:15 PM,BOS,9:34 PM,05-12-2023,$209,JetBlue,2023-05-12 15:52:58.566787
14,JFK,9:59 PM,BOS,11:30 PM,05-12-2023,$209,American,2023-05-12 15:52:58.568816
15,LGA,5:00 PM,BOS,6:30 PM,05-12-2023,$289,Delta,2023-05-12 15:52:58.570840
16,EWR,4:59 PM,BOS,6:21 PM,05-12-2023,$329,United,2023-05-12 15:52:58.572862
17,LGA,5:59 PM,BOS,7:32 PM,05-12-2023,$364,Delta,2023-05-12 15:52:58.574900
18,JFK,10:29 PM,BOS,11:50 PM,05-12-2023,$419,JetBlue,2023-05-12 15:52:58.577254
19,JFK,4:29 PM,BOS,6:10 PM,05-12-2023,$548,Delta,2023-05-12 15:52:58.579268
20,LGA,8:00 PM,BOS,9:14 PM,05-12-2023,$591,Delta,2023-05-12 15:52:58.581242
