,Source,Departure Time,Destination,Arrival Time,Date,Price,Airline,Timestamp
0,EWR,2:45 PM,BOS,3:59 PM,12th May,$209,United,2023-05-12 00:46:21.802535
1,LGA,3:00 PM,BOS,4:30 PM,12th May,$209,Delta,2023-05-12 00:46:21.807018
2,JFK,12:02 PM,BOS,1:37 PM,12th May,$209,American,2023-05-12 00:46:21.811901
3,LGA,2:15 PM,BOS,3:32 PM,12th May,$209,JetBlue,2023-05-12 00:46:21.816335
4,LGA,6:00 AM,BOS,7:10 AM,12th May,$209,Delta,2023-05-12 00:46:21.820337
5,JFK,6:00 AM,BOS,7:20 AM,12th May,$209,Delta,2023-05-12 00:46:21.824656
6,EWR,6:45 AM,BOS,7:59 AM,12th May,$209,United,2023-05-12 00:46:21.829001
7,EWR,7:00 AM,BOS,8:16 AM,12th May,$209,Delta,2023-05-12 00:46:21.833069
8,LGA,7:00 AM,BOS,8:23 AM,12th May,$209,Delta,2023-05-12 00:46:21.837359
9,EWR,7:59 AM,BOS,9:28 AM,12th May,$209,United,2023-05-12 00:46:21.841502
10,LGA,8:00 AM,BOS,9:28 AM,12th May,$209,Delta,2023-05-12 00:46:21.845739
11,JFK,8:30 AM,BOS,10:01 AM,12th May,$209,Delta,2023-05-12 00:46:21.849666
12,LGA,9:00 AM,BOS,10:16 AM,12th May,$209,Delta,2023-05-12 00:46:21.853700
13,EWR,9:12 AM,BOS,10:41 AM,12th May,$209,United,2023-05-12 00:46:21.857839
14,LGA,9:59 AM,BOS,11:28 AM,12th May,$209,Delta,2023-05-12 00:46:21.862359
15,EWR,11:10 AM,BOS,12:27 PM,12th May,$209,Delta,2023-05-12 00:46:21.866478
16,LGA,12:00 PM,BOS,1:25 PM,12th May,$209,Delta,2023-05-12 00:46:21.871121
17,LGA,12:59 PM,BOS,2:29 PM,12th May,$209,Delta,2023-05-12 00:46:21.875803
18,EWR,1:04 PM,BOS,2:18 PM,12th May,$209,United,2023-05-12 00:46:21.878830
19,JFK,1:50 PM,BOS,3:22 PM,12th May,$209,Delta,2023-05-12 00:46:21.881335
20,LGA,4:00 PM,BOS,5:35 PM,12th May,$209,Delta,2023-05-12 00:46:21.883738
21,EWR,4:02 PM,BOS,5:24 PM,12th May,$209,United,2023-05-12 00:46:21.886226
22,EWR,4:59 PM,BOS,6:21 PM,12th May,$209,United,2023-05-12 00:46:21.888779
23,EWR,5:00 PM,BOS,6:32 PM,12th May,$209,Delta,2023-05-12 00:46:21.891399
24,EWR,6:57 PM,BOS,8:19 PM,12th May,$209,United,2023-05-12 00:46:21.894215
25,LGA,6:59 PM,BOS,8:29 PM,12th May,$209,Delta,2023-05-12 00:46:21.896620
26,EWR,8:07 PM,BOS,9:29 PM,12th May,$209,United,2023-05-12 00:46:21.898869
27,LGA,8:59 PM,BOS,10:22 PM,12th May,$209,Delta,2023-05-12 00:46:21.901166
28,LGA,9:59 PM,BOS,11:10 PM,12th May,$209,Delta,2023-05-12 00:46:21.903573
29,EWR,9:59 PM,BOS,11:21 PM,12th May,$209,United,2023-05-12 00:46:21.905951
30,JFK,10:00 PM,BOS,11:27 PM,12th May,$209,Delta,2023-05-12 00:46:21.908870
31,EWR,6:00 AM,BOS,7:12 AM,12th May,$209,JetBlue,2023-05-12 00:46:21.911575
32,JFK,6:30 AM,BOS,7:41 AM,12th May,$209,JetBlue,2023-05-12 00:46:21.914203
33,LGA,7:15 AM,BOS,8:27 AM,12th May,$209,JetBlue,2023-05-12 00:46:21.916750
34,LGA,8:15 AM,BOS,9:30 AM,12th May,$209,JetBlue,2023-05-12 00:46:21.919523
35,JFK,9:09 AM,BOS,10:43 AM,12th May,$209,American,2023-05-12 00:46:21.921978
36,LGA,9:15 AM,BOS,10:34 AM,12th May,$209,JetBlue,2023-05-12 00:46:21.925047
37,LGA,10:15 AM,BOS,11:32 AM,12th May,$209,JetBlue,2023-05-12 00:46:21.927716
38,EWR,11:15 AM,BOS,12:25 PM,12th May,$209,JetBlue,2023-05-12 00:46:21.930267
39,JFK,1:15 PM,BOS,2:31 PM,12th May,$209,JetBlue,2023-05-12 00:46:21.932755
40,EWR,3:30 PM,BOS,4:43 PM,12th May,$209,JetBlue,2023-05-12 00:46:21.935164
41,LGA,4:15 PM,BOS,5:35 PM,12th May,$209,JetBlue,2023-05-12 00:46:21.938042
42,LGA,5:15 PM,BOS,6:42 PM,12th May,$209,JetBlue,2023-05-12 00:46:21.940880
43,JFK,5:25 PM,BOS,6:56 PM,12th May,$209,JetBlue,2023-05-12 00:46:21.943753
44,LGA,6:15 PM,BOS,7:37 PM,12th May,$209,JetBlue,2023-05-12 00:46:21.946259
45,LGA,7:15 PM,BOS,8:36 PM,12th May,$209,JetBlue,2023-05-12 00:46:21.948667
46,JFK,7:29 PM,BOS,9:19 PM,12th May,$209,American,2023-05-12 00:46:21.950772
47,LGA,8:15 PM,BOS,9:34 PM,12th May,$209,JetBlue,2023-05-12 00:46:21.953571
48,JFK,9:59 PM,BOS,11:30 PM,12th May,$209,American,2023-05-12 00:46:21.955820
