,Source,Departure Time,Destination,Arrival Time,Date,Price,Airline,Timestamp
0,EWR,4:02 PM,BOS,5:24 PM,12th May,$209,United,2023-05-12 15:51:02.963950
1,LGA,6:59 PM,BOS,8:29 PM,12th May,$209,Delta,2023-05-12 15:51:02.965986
2,LGA,5:15 PM,BOS,6:42 PM,12th May,$209,JetBlue,2023-05-12 15:51:02.968253
3,EWR,5:00 PM,BOS,6:32 PM,12th May,$209,Delta,2023-05-12 15:51:02.970301
4,EWR,6:57 PM,BOS,8:19 PM,12th May,$209,United,2023-05-12 15:51:02.972309
5,EWR,8:07 PM,BOS,9:29 PM,12th May,$209,United,2023-05-12 15:51:02.974333
6,LGA,8:59 PM,BOS,10:22 PM,12th May,$209,Delta,2023-05-12 15:51:02.976339
7,LGA,9:59 PM,BOS,11:10 PM,12th May,$209,Delta,2023-05-12 15:51:02.978303
8,EWR,9:59 PM,BOS,11:21 PM,12th May,$209,United,2023-05-12 15:51:02.980276
9,JFK,10:00 PM,BOS,11:27 PM,12th May,$209,Delta,2023-05-12 15:51:02.982245
10,JFK,5:25 PM,BOS,6:56 PM,12th May,$209,JetBlue,2023-05-12 15:51:02.984541
11,LGA,6:15 PM,BOS,7:37 PM,12th May,$209,JetBlue,2023-05-12 15:51:02.986816
12,LGA,7:15 PM,BOS,8:36 PM,12th May,$209,JetBlue,2023-05-12 15:51:02.989153
13,LGA,8:15 PM,BOS,9:34 PM,12th May,$209,JetBlue,2023-05-12 15:51:02.991426
14,JFK,9:59 PM,BOS,11:30 PM,12th May,$209,American,2023-05-12 15:51:02.993442
15,LGA,5:00 PM,BOS,6:30 PM,12th May,$289,Delta,2023-05-12 15:51:02.995465
16,EWR,4:59 PM,BOS,6:21 PM,12th May,$329,United,2023-05-12 15:51:02.997438
17,LGA,5:59 PM,BOS,7:32 PM,12th May,$364,Delta,2023-05-12 15:51:02.999432
18,JFK,10:29 PM,BOS,11:50 PM,12th May,$419,JetBlue,2023-05-12 15:51:03.001701
19,JFK,4:29 PM,BOS,6:10 PM,12th May,$548,Delta,2023-05-12 15:51:03.003674
20,LGA,8:00 PM,BOS,9:14 PM,12th May,$591,Delta,2023-05-12 15:51:03.005657
