Time,CPU Usage,Memory Usage,OS
2023-05-12 15:42:12,25.0,72.6,Windows
2023-05-12 15:42:13,11.2,72.4,Windows
2023-05-12 15:42:14,6.9,72.3,Windows
2023-05-12 15:42:15,4.9,72.3,Windows
2023-05-12 15:42:16,43.9,72.4,Windows
2023-05-12 15:42:17,4.6,72.2,Windows
2023-05-12 15:42:18,19.0,72.3,Windows
2023-05-12 15:42:19,16.7,72.3,Windows
2023-05-12 15:42:20,7.6,72.3,Windows
2023-05-12 15:42:21,12.8,72.3,Windows
2023-05-12 15:42:22,7.3,72.4,Windows
2023-05-12 15:42:23,8.5,72.3,Windows
2023-05-12 15:42:24,7.4,72.3,Windows
2023-05-12 15:42:25,3.1,72.3,Windows
2023-05-12 15:42:26,1.6,72.3,Windows
2023-05-12 15:42:27,1.6,72.3,Windows
2023-05-12 15:42:28,3.1,72.3,Windows
2023-05-12 15:42:29,1.9,72.3,Windows
2023-05-12 15:42:30,1.5,72.3,Windows
2023-05-12 15:42:31,6.1,72.8,Windows
2023-05-12 15:42:32,3.5,72.9,Windows
2023-05-12 15:42:33,8.4,72.9,Windows
2023-05-12 15:42:34,2.7,72.9,Windows
2023-05-12 15:42:35,2.7,72.9,Windows
2023-05-12 15:42:36,0.8,72.9,Windows
2023-05-12 15:42:37,3.1,72.4,Windows
2023-05-12 15:42:38,1.9,72.4,Windows
2023-05-12 15:42:39,2.0,72.4,Windows
2023-05-12 15:42:40,7.2,72.4,Windows
2023-05-12 15:42:41,18.6,72.4,Windows
2023-05-12 15:42:42,13.2,72.4,Windows
2023-05-12 15:42:43,16.4,71.8,Windows
2023-05-12 15:42:44,10.5,71.8,Windows
2023-05-12 15:42:45,15.6,71.6,Windows
2023-05-12 15:42:46,12.0,71.6,Windows
2023-05-12 15:42:47,12.7,71.5,Windows
2023-05-12 15:42:48,10.4,71.5,Windows
2023-05-12 15:42:49,9.1,71.5,Windows
2023-05-12 15:42:50,10.5,71.4,Windows
2023-05-12 15:42:51,11.9,71.4,Windows
2023-05-12 15:42:52,14.0,71.4,Windows
2023-05-12 15:42:53,15.8,71.4,Windows
2023-05-12 15:42:54,11.4,71.4,Windows
2023-05-12 15:42:55,9.9,71.4,Windows
2023-05-12 15:42:56,17.3,71.4,Windows
